holiday_id,holiday_date,holiday_name,holiday_type,reflect_in_mm,source_type
HOL-001,2026-01-01,신정연휴,공휴일,Y,original_based
HOL-002,2026-01-30,설날연휴,공휴일,Y,original_based
HOL-003,2026-02-16,설날연휴,공휴일,Y,original_based
HOL-004,2026-02-17,설날연휴,공휴일,Y,original_based
HOL-005,2026-02-18,설날연휴,공휴일,Y,original_based
HOL-006,2026-03-02,삼일절 대체공휴일,공휴일,Y,original_based
HOL-007,2026-05-05,어린이날,공휴일,Y,original_based
HOL-008,2026-05-25,부처님오신날 대체공휴일,공휴일,Y,original_based
HOL-009,2026-06-03,지방선거일,공휴일,Y,original_based
HOL-010,2026-06-06,현충일,공휴일,Y,original_based
HOL-011,2026-08-17,광복절 대체공휴일,공휴일,Y,original_based
HOL-012,2026-09-24,추석연휴,공휴일,Y,original_based
HOL-013,2026-09-25,추석연휴,공휴일,Y,original_based
HOL-014,2026-10-05,개천절 대체공휴일,공휴일,Y,original_based
HOL-015,2026-10-09,한글날,공휴일,Y,original_based
HOL-016,2026-12-25,성탄절,공휴일,Y,original_based
