project_id,project_code_id,project_code,project_name,project_type,project_status,support_start_date,support_end_date,submission_date,presentation_date,contract_amount_krw_eok,source_type
PROJ-0001,,GEN-0001,[서울교통공사] 1~4호선 네트워크 유지보수 용역,주사업,수행중,2026-01-01,2026-12-31,,,,original_based
PROJ-0002,,GEN-0002,[한전산업개발] 인터넷빌링시스템(도로조명시스템 포함) 유지보수 용역,주사업,수행중,2026-01-01,2026-07-15,,,,original_based
PROJ-0003,,GEN-0003,[재능대학교] 정보시스템 통합유지보수용역,주사업,수행중,2026-01-01,2026-12-31,,,,original_based
PROJ-0004,,GEN-0004,[대법원] 2025년 망분리 노후장비 교체 사업(긴급공고),주사업,완료,2026-01-01,2026-03-23,,,,original_based
PROJ-0005,,GEN-0005,[인천국제공항공사] 상용인터넷망 및 무선인프라 개선사업,주사업,수행중,2026-01-01,2026-12-28,,,,original_based
PROJ-0006,,GEN-0006,[우리투자증권] 보안 인프라 분리 구축 사업,주사업,수행중,2026-01-01,2026-08-31,,,,original_based
PROJ-0007,,GEN-0007,[제주국제자유도시개발센터] 정보시스템 위탁운영 및 통합 유지보수 사업,주사업,제안중,2026-01-15,2026-03-13,,,,original_based
PROJ-0008,,GEN-0008,[미래에셋자산운용] IDC이전사업,주사업,제안중,2026-01-30,2026-02-10,,,,original_based
PROJ-0009,,GEN-0009,[한전산업개발] 빌링시스템 고도화 사업,협력,업무지원,2026-01-01,2026-03-31,,,,original_based
PROJ-0010,,GEN-0010,[감사원] 2026~2027년 감사원 정보인프라 유지관리 사업,주사업,제안중,2026-02-19,2026-03-12,,,,original_based
PROJ-0011,,GEN-0011,[한국해양진흥공사] 26년~29년 정보시스템 통합 유지보수 용역(3년),주사업,제안중,2026-02-19,2026-03-26,,,,original_based
PROJ-0012,,GEN-0012,[신한은행] Endpoint 위협식별 및 탐지역량 강화를 위한 EDR시스템 구축,주사업,제안중,2026-02-27,2026-03-13,,,,original_based
PROJ-0013,,GEN-0013,[삼성카드] IT자산 위험 관리시스템 구축,주사업,수행중,2026-04-01,2026-11-30,,,,original_based
PROJ-0014,,GEN-0014,[저축은행중앙회] 사이버 위협 대응 내외부 통합 보안 인프라 구축 사업,주사업,제안중,2026-03-23,2026-04-06,,,,original_based
PROJ-0015,,GEN-0015,[삼성증권] IT자산 위험관리 시스템 구축,주사업,제안중,2026-03-31,2026-04-09,,,,original_based
PROJ-0016,,GEN-0016,[서울특별시 노원구] 2026년 정보통신장비 교체 및 보강 계약(긴급),주사업,제안중,2026-04-06,2026-04-13,,,,original_based
PROJ-0017,,GEN-0017,[하나은행] 차세대 디도스(DDoS) 방어 장비 도입,주사업,제안중,2026-04-06,2026-04-13,,,,original_based
PROJ-S001,,TEST-PJT-001,[TEST] 발표완료 후 담당수정 검증 프로젝트,주사업,발표완료,2026-05-01,2026-07-31,2026-05-20,2026-05-27,8.5,scenario
PROJ-S002,,TEST-PJT-002,[TEST] 잘못된 상태전환 차단 프로젝트,부사업,제안중,2026-06-01,2026-06-30,2026-06-18,,3.2,scenario
PROJ-S003,,TEST-PJT-003,[TEST] 업무지원 완료 전환 검증 프로젝트,협력,업무지원,2026-04-15,2026-06-15,,,1.1,scenario
