holiday_date,name,holiday_type,is_counted_as_workday
2026-01-01,신정연휴,public,False
2026-02-16,설날연휴,public,False
2026-02-17,설날연휴,public,False
2026-02-18,설날연휴,public,False
2026-01-30,설날연휴,public,False
2026-03-02,삼일절 대체공휴일,public,False
2026-05-05,어린이날,public,False
2026-05-25,부처님오신날 대체공휴일,public,False
2026-06-03,지방선거일,public,False
2026-06-06,현충일,public,False
2026-08-17,광복절 대체공휴일,public,False
2026-09-24,추석연휴,public,False
2026-09-25,추석연휴,public,False
2026-10-05,개천절 대체공휴일,public,False
2026-10-09,한글날,public,False
2026-12-25,성탄절,public,False
